PM276	VIODOS-ABENSE-DE-BAS	SRO-BPI-12149218
PM277	VIODOS-ABENSE-DE-BAS	SRO-BPI-12149241
PM278	MAULEON-LICHARRE	SRO-BPI-12146276
PM279	CHERAUTE	SRO-BPI-12147656
PM280	MAULEON-LICHARRE	SRO-BPI-12146317
PM281	CHERAUTE	SRO-BPI-12147678
PM282	MAULEON-LICHARRE	SRO-BPI-12149357
PM283	ESPES-UNDUREIN	SRO-BPI-12198136
PM284	TARDETS	SRO-BPI-12225896
PM285	MONTORY	SRO-BPI-12180116
PM286	TARDETS	SRO-BPI-12225878
PM287	SAINT-DOS	SRO-BPI-12138696
PM288	LABASTIDE-VILLEFRANCHE	SRO-BPI-12274496
PM289	BELLOCQ	SRO-BPI-12275837
PM290	LAHONTAN	SRO-BPI-12230296
PM291	JASSES	SRO-BPI-12231717
PM400	LEE	SRO-BPI-11665234
PM401	SENDETS	SRO-BPI-12015074
PM402	LEE	SRO-BPI-11665276
PM403	SENDETS	SRO-BPI-11982876
PM404	OUSSE	SRO-BPI-12026834
PM405	OUSSE	SRO-BPI-11665175
PM406	ARTIGUELOUTAN	SRO-BPI-11666335
PM407	GELOS	SRO-BPI-11670974
PM408	MAZERES LEZONS	SRO-BPI-11651334
PM409	JURANCON	SRO-BPI-11671014
PM410	JURANCON	SRO-BPI-12018594
PM411	ARETTE	SRO-BPI-11899574
PM412	LANNES EN BARETOUS	SRO-BPI-11637854
PM413	ARETTE	SRO-BPI-11647195
PM414	ARAMITS	SRO-BPI-12013014
PM415	ARAMITS	SRO-BPI-11647427
PM416	IZESTE	SRO-BPI-11439394
PM417	LOUVIE-JUZON	SRO-BPI-11668874
PM418	REBENACQ	SRO-BPI-11668934
PM419	ARROS DE NAY	SRO-BPI-11663414
PM420	BEUSTE	SRO-BPI-11443675
PM421	BENEJACQ	SRO-BPI-11663440
PM422	BOURDETTES	SRO-BPI-11899634
PM423	COARRAZE	SRO-BPI-11663636
PM424	COARRAZE	SRO-BPI-11663655
PM425	SAINT-ABIT	SRO-BPI-12022618
PM426	BOEIL-BEZING	SRO-BPI-12025515
PM427	CASTETIS	SRO-BPI-11661576
PM428	NAY	SRO-BPI-12006117
PM429	NAY	SRO-BPI-11663427
PM430	NAY	SRO-BPI-12006256
PM431	COARRAZE	SRO-BPI-12011294
PM432	MIREPEIX	SRO-BPI-12028574
PM433	NAY	SRO-BPI-12006115
PM434	BOURDETTES	SRO-BPI-12509057
PM435	NAY	SRO-BPI-12197337
PM436	NAY	SRO-BPI-12197318
PM437	BOEIL-BEZING	SRO-BPI-12499057
PM438	LAGOS	SRO-BPI-12015634
PM439	BENEJACQ	SRO-BPI-11663615
PM440	IGON	SRO-BPI-11665674
PM441	MONTAUT	SRO-BPI-12196077
PM442	COARRAZE	SRO-BPI-12011314
PM443	BENEJACQ	SRO-BPI-13566557
PM444	LESTELLE-BETHARRAM	SRO-BPI-12018255
PM445	IGON	SRO-BPI-11663674
PM446	MONTAUT	SRO-BPI-11665654
PM447	ESLOURENTIES-DABAN	SRO-BPI-11560534
PM448	LOURENTIES	SRO-BPI-11664137
PM449	SOUMOULOU	SRO-BPI-11668356
PM450	ESPOEY	SRO-BPI-12482957
PM451	SOUMOULOU	SRO-BPI-12064298
PM452	GER	SRO-BPI-12064516
PM453	GER	SRO-BPI-12064397
PM454	LIMENDOUS	SRO-BPI-11668395
PM456	SOUMOULOU	SRO-BPI-12367617
PM457	ESPOEY	SRO-BPI-11668494
PM458	GER	SRO-BPI-11668514
PM459	BERENX	SRO-BPI-11441715
PM460	PUYOO	SRO-BPI-11441475
PM461	RAMOUS	SRO-BPI-12187076
PM462	BAIGTS DE BEARN	SRO-BPI-11698975
PM463	BERENX	SRO-BPI-11698994
PM464	BARDOS	SRO-BPI-11660358
PM465	BARDOS	SRO-BPI-11623216
PM466	LA BASTIDE CLAIRENCE	SRO-BPI-11660418
PM467	LA BASTIDE CLAIRENCE	SRO-BPI-12024395
PM468	BARDOS	SRO-BPI-12183618
PM469	CASTEIDE-CANDAU	SRO-BPI-11643714
PM470	BOUILLON	SRO-BPI-11984615
PM471	GEUS D'ARZACQ	SRO-BPI-12060180
PM472	HAGETAUBIN	SRO-BPI-12235579
PM473	HAGETAUBIN	SRO-BPI-12235596
PM474	BOUILLON	SRO-BPI-11643996
PM475	ARMENDARITS	SRO-BPI-11661195
PM476	IHOLDY	SRO-BPI-11661135
PM477	HELETTE	SRO-BPI-12025936
PM478	SAINT-ESTEBEN	SRO-BPI-11661275
PM479	SAINT-MARTIN-ARBEROUE	SRO-BPI-11661234
PM480	IRISSARRY	SRO-BPI-12233696
PM481	SAMES	SRO-BPI-11689875
PM482	GUICHE	SRO-BPI-11673856
PM483	GUICHE	SRO-BPI-12188876
PM484	ARGAGNON	SRO-BPI-12062556
PM485	BESCAT	SRO-BPI-12401497
PM486	LOUVIE-JUZON	SRO-BPI-12316036
PM487	ARUDY	SRO-BPI-11713955
PM488	ARUDY	SRO-BPI-11713958
PM489	ARUDY	SRO-BPI-11713974
